Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,461.879,1342.86,516.059,1402.05,653.105,1619.67,622.368,1483.51,558.795,1374.04,542.13,1347.23,526.656,1347.3
1,CA1,27,0.000216,562.415,190.287,3663.06,343.08,5843.84,454.524,4204,274.41,2279.95,383.512,1311.09,232.79,1765.31,292.155
2,CA2,27,0.000216,719.264,533.523,2501.65,414.806,4406.53,466.145,3206.57,350.362,1529.93,308,1500.53,731.839,1084.27,449.06
3,CA3,27,0.000216,605.875,612.584,2081.44,696.558,3400.96,333.613,2846.18,536.555,1537.15,506.306,1189.64,532.766,931.192,562.378
4,CA4,27,0.000216,466.561,336.468,1098.44,424.01,2420.6,391.645,2040.92,423.386,1292.17,376.737,1093.41,357.888,1058.3,422.687
5,CA5,27,0.000216,527.429,301.313,880.223,319.212,1776.26,397.181,1594.33,285.341,944.532,337.967,1175.76,237.009,726.437,244.406
6,ST1,27,0.000216,156.01,244.275,305.643,247.353,419.703,315.261,807.651,425.508,462.995,275.229,724.34,470.656,855.096,225.131
7,SV1,27,0.000216,220.444,324.534,343.775,301.986,395.037,294.168,126.477,300.456,471.93,223.157,247.124,268.494,241.922,218.037
8,ST2,27,0.000216,273.594,255.854,403.343,244.195,274.894,211.84,566.484,352.384,680.754,272.317,966.849,195.73,548.698,230.237
9,SV2,27,0.000216,344.236,229.634,544.754,308.782,301.784,219.054,340.88,246.64,568.078,218.419,497.855,283.714,128.239,208.59
10,ST3,27,0.000216,498.484,243.583,489.297,215.272,504.022,330.505,558.933,274.491,856.186,257.546,748.922,307.343,551.592,286.002
11,SV3,27,0.000216,474.154,302.71,243.222,230.502,511.698,261.205,338.028,244.514,582.131,259.924,368.315,422.037,319.235,288.129
12,ST4,27,0.000216,159.45,280.655,418.235,267.933,356.108,333.218,194.981,300.003,636.581,249.416,430.4,193.712,484.515,246.401
13,SV4,27,0.000216,280.431,344.965,144.851,276.592,426.835,286.831,138.81,417.833,274.097,217.276,212.767,161.538,484.221,230.874
14,ST5,27,0.000216,117.248,243.677,363.911,158.55,100.93,283.924,31.3362,303.544,363.198,340.626,479.523,276.721,99.1683,296.093
15,SV5,27,0.000216,250.438,315.441,74.2504,194.088,-9.8581,283.722,82.5983,529.782,208.656,236.347,478.978,282.472,247.291,254.082
16,ST6,27,0.000216,172.328,251.734,178.578,290.323,-19.3806,444.088,22.1073,357.122,437.783,333.174,334.001,247.46,279.257,232.91
17,SV6,27,0.000216,109.11,235.165,272.209,240.684,505.406,241.953,133.986,238.149,106.887,240.861,234.329,208.27,177.236,210.416
18,ST7,27,0.000216,174.174,266.307,326.492,325.832,466.141,262.974,205.929,296.232,590.731,271.797,549.243,158.089,571.602,214.922
19,SV7,27,0.000216,361.603,207.762,335.301,296.313,336.182,227.954,287.856,258.128,394.618,191.598,354.766,339.199,166.581,233.516
20,ST8,27,0.000216,454.228,300.885,403.343,274.294,246.704,255.537,344.95,257.027,427.506,221.51,136.461,171.595,514.383,256.059
21,SV8,27,0.000216,199.931,299.748,119.765,217.118,28.5256,296.284,-113.179,269.543,216.165,301.524,41.1523,179.705,212.515,280.678
22,SM1,27,0.000216,613.342,352.864,243.474,339.514,868.561,323.654,1136.53,398.961,1014.75,371.459,1008.88,192.36,684.991,268.858
23,SM2,27,0.000216,723.836,295.1,746.866,363.842,573.07,399.215,983.209,262.004,938.952,231.485,811.888,374.875,825.186,250.243
24,SM3,27,0.000216,581.544,403.34,579.992,265.046,772.078,294.668,660.325,361.936,695.856,274.715,756.682,235.323,895.703,277.911
25,SM4,27,0.000216,179.501,337.094,785.208,335.777,509.894,265.518,509.349,466.926,735.288,299.416,490.22,306.714,316.55,249.022
26,SM5,27,0.000216,153.828,281.056,266.336,324.344,293.016,350.731,313.991,291.416,342.642,198.632,711.671,224.967,417.396,246.125
27,SM6,27,0.000216,338.028,218.347,128.785,347.032,201.651,224.479,25.3374,264.375,308.747,225.004,378.299,299.31,328.757,203.584
28,SM7,27,0.000216,294.778,316.871,345.537,404.653,348.012,349.26,318.438,259.469,292.429,352.818,160.414,285.698,157.646,278.815
29,SM8,27,0.000216,550.292,288.544,444.034,288.286,482.166,260.259,237.937,294.92,472.685,267.108,502.805,212.99,396.338,170.378
30,CN1,27,0.000216,-10.781,231.961,104.118,343.767,502.092,402.764,493.157,312.302,262.813,327.236,431.323,180.575,175.055,231.289
31,CN2,27,0.000216,390.842,203.836,441.978,274.125,514.257,381.978,469.875,238.805,650.131,296.202,575.461,341.181,530.911,250.172
32,CM1,27,0.000216,104.328,388.864,11134,546.241,13799.2,582.564,4389.5,308.59,1948.04,262.913,1542.02,198.425,917.432,271.226
33,CM2,27,0.000216,-84.2343,169.67,10252.5,514.662,13313.6,705.971,4305.05,378.047,1723.99,223.932,1512.74,271.54,1138.97,209.377
